"transaction_id";"customer_id";"catagory";"quantity";"price_per_unit";"total_spend";"transaction_date"
1002182;"CUST_01";"Food";5;11;55.0;"2024-10-08"
1003865;"CUST_15";"Furniture";5;7;32.5;"2022-03-12"
1003940;"CUST_06";"Furniture";9;11;99.0;"2022-04-22"
1004091;"CUST_04";"Food";3;41;123.0;"2023-11-09"
1004124;"CUST_08";"Computers and electric accessories";5;14;70.0;"2022-03-02"
1004284;"CUST_15";"Milk Products";3;41;123.0;"2023-09-25"
1005543;"CUST_19";"Food";0;0;0.0;"2022-12-03"
1005750;"CUST_04";"Electric household essentials";6;22;129.0;"2022-11-26"
1006123;"CUST_04";"Electric household essentials";1;16;15.5;"2023-10-17"
1006129;"CUST_21";"Milk Products";8;29;232.0;"2024-11-05"
1006950;"CUST_06";"Food";5;19;92.5;"2023-08-03"
1007144;"CUST_20";"Beverages";4;7;26.0;"2022-03-05"
1007406;"CUST_13";"Beverages";6;22;129.0;"2022-05-08"
1007496;"CUST_01";"Butchers";10;16;155.0;"2024-02-05"
1007510;"CUST_14";"Beverages";5;35;175.0;"2022-10-03"
1009738;"CUST_06";"Computers and electric accessories";2;41;82.0;"2023-04-23"
1010570;"CUST_08";"Butchers";7;26;182.0;"2023-04-24"
1010976;"CUST_07";"Computers and electric accessories";5;22;107.5;"2022-06-30"
1011669;"CUST_14";"Food";8;23;184.0;"2025-01-17"
1011882;"CUST_16";"Patisserie";2;35;70.0;"2023-10-31"
1011892;"CUST_08";"Furniture";2;40;79.0;"2023-08-27"
1011915;"CUST_16";"Patisserie";10;32;320.0;"2023-03-25"
1012234;"CUST_15";"Computers and electric accessories";7;8;56.0;"2024-05-12"
1012276;"CUST_16";"Food";9;35;315.0;"2024-11-14"
1013045;"CUST_11";"Computers and electric accessories";4;32;128.0;"2023-07-11"
1014253;"CUST_01";"Furniture";9;25;220.5;"2023-01-15"
1014375;"CUST_17";"Food";3;29;87.0;"2023-09-28"
1015414;"CUST_18";"Butchers";10;38;380.0;"2022-12-13"
1016209;"CUST_06";"Food";4;41;164.0;"2024-11-09"
1016292;"CUST_11";"Electric household essentials";1;26;26.0;"2022-02-12"
1016655;"CUST_01";"Food";1;29;29.0;"2023-10-22"
1017087;"CUST_06";"Patisserie";4;19;74.0;"2023-05-22"
1017199;"CUST_02";"Electric household essentials";7;13;87.5;"2024-01-14"
1018578;"CUST_10";"Computers and electric accessories";3;19;55.5;"2023-01-17"
1019817;"CUST_16";"Electric household essentials";5;19;92.5;"2022-08-01"
1020775;"CUST_06";"Patisserie";3;28;82.5;"2023-04-08"
1020981;"CUST_19";"Electric household essentials";2;26;52.0;"2024-09-25"
1021697;"CUST_18";"Patisserie";6;38;228.0;"2022-08-18"
1021886;"CUST_04";"Butchers";5;16;77.5;"2022-02-26"
1021914;"CUST_25";"Electric household essentials";8;26;208.0;"2022-10-01"
1023937;"CUST_08";"Butchers";5;16;77.5;"2024-10-09"
1025805;"CUST_09";"Butchers";2;16;31.0;"2024-07-28"
1027160;"CUST_15";"Beverages";10;34;335.0;"2024-06-12"
1027353;"CUST_06";"Beverages";8;28;220.0;"2024-05-04"
1028025;"CUST_05";"Milk Products";5;20;100.0;"2023-05-18"
1028281;"CUST_20";"Beverages";10;34;335.0;"2022-02-27"
1029810;"CUST_23";"Butchers";4;5;20.0;"2022-08-02"
1030654;"CUST_20";"Milk Products";7;38;266.0;"2022-08-26"
1031335;"CUST_21";"Electric household essentials";6;13;75.0;"2024-11-19"
1031561;"CUST_14";"Patisserie";6;28;165.0;"2023-01-04"
1031651;"CUST_12";"Beverages";6;7;39.0;"2023-05-03"
1032287;"CUST_16";"Food";2;22;43.0;"2022-07-27"
1033656;"CUST_18";"Electric household essentials";5;26;130.0;"2024-04-29"
1034189;"CUST_25";"Beverages";2;28;55.0;"2022-02-08"
1036311;"CUST_16";"Electric household essentials";1;29;29.0;"2022-12-22"
1036563;"CUST_12";"Computers and electric accessories";8;22;172.0;"2023-09-12"
1037036;"CUST_18";"Beverages";10;40;395.0;"2024-03-22"
1038078;"CUST_05";"Patisserie";5;29;145.0;"2023-09-15"
1038808;"CUST_02";"Milk Products";1;14;14.0;"2024-02-29"
1038947;"CUST_14";"Milk Products";2;28;55.0;"2024-03-07"
1038979;"CUST_16";"Computers and electric accessories";3;11;33.0;"2024-02-06"
1039114;"CUST_08";"Patisserie";7;23;161.0;"2023-12-19"
1039611;"CUST_09";"Beverages";1;16;15.5;"2023-08-18"
1040270;"CUST_02";"Furniture";2;26;52.0;"2022-05-03"
1041483;"CUST_19";"Electric household essentials";0;0;0.0;"2024-03-19"
1041890;"CUST_03";"Furniture";0;0;0.0;"2022-07-02"
1041912;"CUST_18";"Beverages";4;22;86.0;"2023-11-12"
1042850;"CUST_16";"Beverages";2;17;34.0;"2024-10-19"
1042935;"CUST_18";"Patisserie";2;23;46.0;"2022-09-11"
1043899;"CUST_16";"Patisserie";2;28;55.0;"2024-09-02"
1044009;"CUST_05";"Milk Products";9;14;126.0;"2024-01-07"
1044590;"CUST_12";"Electric household essentials";4;14;56.0;"2024-05-07"
1045345;"CUST_24";"Electric household essentials";4;10;38.0;"2023-12-18"
1046262;"CUST_14";"Milk Products";5;14;70.0;"2022-11-19"
1046367;"CUST_21";"Computers and electric accessories";10;19;185.0;"2022-06-21"
1047304;"CUST_08";"Beverages";1;11;11.0;"2023-10-25"
1048755;"CUST_05";"Butchers";3;41;123.0;"2024-10-06"
1050160;"CUST_23";"Milk Products";6;23;138.0;"2023-11-06"
1051037;"CUST_14";"Patisserie";3;28;82.5;"2023-06-14"
1051223;"CUST_08";"Patisserie";9;5;45.0;"2023-10-25"
1051740;"CUST_24";"Milk Products";5;38;190.0;"2024-12-14"
1053050;"CUST_14";"Food";1;14;14.0;"2024-11-24"
1053131;"CUST_24";"Milk Products";7;8;56.0;"2024-08-04"
1054983;"CUST_15";"Milk Products";7;16;108.5;"2024-10-09"
1054994;"CUST_11";"Computers and electric accessories";10;14;140.0;"2023-09-05"
1055174;"CUST_12";"Computers and electric accessories";2;25;49.0;"2022-06-17"
1055966;"CUST_08";"Computers and electric accessories";5;11;55.0;"2024-12-22"
1056184;"CUST_16";"Beverages";5;25;122.5;"2024-11-30"
1056560;"CUST_22";"Furniture";6;13;75.0;"2024-03-06"
1057845;"CUST_18";"Beverages";7;34;234.5;"2024-04-03"
1058643;"CUST_23";"Food";2;10;19.0;"2024-10-01"
1058677;"CUST_22";"Computers and electric accessories";8;25;196.0;"2024-04-24"
1059221;"CUST_17";"Patisserie";2;28;55.0;"2022-09-11"
1060478;"CUST_06";"Butchers";3;38;114.0;"2024-05-29"
1060721;"CUST_24";"Milk Products";1;37;36.5;"2022-07-12"
1061030;"CUST_20";"Computers and electric accessories";4;37;146.0;"2024-07-14"
1061282;"CUST_06";"Furniture";2;28;55.0;"2024-03-28"
1063113;"CUST_14";"Patisserie";1;20;20.0;"2024-07-02"
1063182;"CUST_01";"Beverages";10;7;65.0;"2022-05-02"
1065130;"CUST_09";"Butchers";3;41;123.0;"2022-09-14"
1067274;"CUST_02";"Food";10;20;200.0;"2022-05-21"
1068083;"CUST_16";"Milk Products";8;5;40.0;"2023-10-11"
1068864;"CUST_13";"Computers and electric accessories";5;28;137.5;"2023-02-16"
1069163;"CUST_09";"Butchers";2;41;82.0;"2023-01-20"
1069238;"CUST_23";"Food";0;0;0.0;"2022-08-13"
1069677;"CUST_12";"Beverages";8;29;232.0;"2023-03-18"
1071181;"CUST_20";"Furniture";6;29;174.0;"2023-04-16"
1071655;"CUST_15";"Furniture";8;13;100.0;"2024-04-25"
1071762;"CUST_19";"Beverages";3;10;28.5;"2024-10-31"
1072609;"CUST_08";"Patisserie";10;5;50.0;"2023-01-31"
1073711;"CUST_24";"Furniture";6;7;39.0;"2024-01-02"
1074265;"CUST_17";"Patisserie";7;7;45.5;"2024-03-16"
1075229;"CUST_03";"Beverages";3;14;42.0;"2023-09-08"
1075886;"CUST_14";"Furniture";4;8;32.0;"2024-08-21"
1076536;"CUST_23";"Computers and electric accessories";7;16;108.5;"2023-05-24"
1076574;"CUST_16";"Computers and electric accessories";8;11;88.0;"2024-09-19"
1076822;"CUST_13";"Computers and electric accessories";2;28;55.0;"2022-10-06"
1076981;"CUST_06";"Milk Products";3;20;60.0;"2023-11-11"
1077412;"CUST_07";"Electric household essentials";3;17;51.0;"2024-06-02"
1078382;"CUST_15";"Butchers";6;38;228.0;"2022-07-08"
1078497;"CUST_03";"Furniture";9;40;355.5;"2024-01-21"
1078672;"CUST_16";"Patisserie";8;40;316.0;"2023-07-22"
1079752;"CUST_07";"Food";8;34;268.0;"2023-11-08"
1082353;"CUST_02";"Patisserie";2;38;76.0;"2023-01-05"
1083965;"CUST_15";"Patisserie";8;13;100.0;"2024-04-11"
1084358;"CUST_02";"Milk Products";10;5;50.0;"2022-01-23"
1085427;"CUST_24";"Patisserie";9;29;261.0;"2024-10-21"
1085751;"CUST_06";"Computers and electric accessories";10;13;125.0;"2024-08-27"
1086487;"CUST_07";"Beverages";1;28;27.5;"2025-01-05"
1086949;"CUST_03";"Furniture";3;11;33.0;"2023-12-07"
1087400;"CUST_08";"Food";2;29;58.0;"2023-07-14"
1089119;"CUST_05";"Food";9;20;180.0;"2024-08-18"
1089350;"CUST_06";"Computers and electric accessories";9;29;261.0;"2025-01-03"
1091462;"CUST_11";"Beverages";2;28;55.0;"2022-06-22"
1091806;"CUST_23";"Computers and electric accessories";7;17;119.0;"2024-11-04"
1091915;"CUST_01";"Patisserie";4;37;146.0;"2023-07-16"
1095198;"CUST_25";"Electric household essentials";2;32;64.0;"2022-11-04"
1095513;"CUST_03";"Food";1;40;39.5;"2022-08-04"
1095879;"CUST_15";"Beverages";10;7;65.0;"2023-02-04"
1096134;"CUST_06";"Food";8;10;76.0;"2022-06-11"
1096977;"CUST_07";"Food";9;23;207.0;"2024-12-07"
1097532;"CUST_02";"Beverages";3;22;64.5;"2022-03-01"
1099045;"CUST_21";"Patisserie";6;19;111.0;"2022-09-12"
1101287;"CUST_05";"Furniture";2;20;40.0;"2024-01-05"
1101297;"CUST_15";"Milk Products";2;14;28.0;"2022-03-24"
1102033;"CUST_01";"Computers and electric accessories";10;23;230.0;"2022-04-17"
1102128;"CUST_22";"Furniture";3;11;33.0;"2024-05-01"
1102582;"CUST_09";"Food";5;23;115.0;"2024-10-27"
1102675;"CUST_20";"Furniture";1;35;35.0;"2024-11-02"
1102901;"CUST_16";"Patisserie";10;25;245.0;"2022-03-17"
1105856;"CUST_08";"Furniture";2;40;79.0;"2022-04-17"
1107138;"CUST_16";"Beverages";2;19;37.0;"2023-07-08"
1107383;"CUST_15";"Milk Products";6;8;48.0;"2022-03-24"
1107812;"CUST_03";"Butchers";5;34;167.5;"2023-04-13"
1109670;"CUST_24";"Beverages";6;34;201.0;"2023-08-12"
1110407;"CUST_25";"Butchers";7;40;276.5;"2022-10-21"
1110932;"CUST_24";"Butchers";9;34;301.5;"2024-04-07"
1112365;"CUST_19";"Food";10;40;395.0;"2023-09-24"
1112486;"CUST_01";"Computers and electric accessories";5;38;190.0;"2022-01-22"
1112566;"CUST_22";"Beverages";2;29;58.0;"2022-07-19"
1113144;"CUST_01";"Electric household essentials";10;11;110.0;"2022-05-03"
1113295;"CUST_11";"Milk Products";10;41;410.0;"2022-08-23"
1116351;"CUST_13";"Computers and electric accessories";3;38;114.0;"2024-08-26"
