transaction_id,customer_id,catagory,quantity,price_per_unit,total_spend,transaction_date,year,month,day
1002182,CUST_01,Food,5,11,55.0,2024-10-08,2024,10,8
1003865,CUST_15,Furniture,5,7,32.5,2022-03-12,2022,3,12
1003940,CUST_06,Furniture,9,11,99.0,2022-04-22,2022,4,22
1004091,CUST_04,Food,3,41,123.0,2023-11-09,2023,11,9
1004124,CUST_08,Computers and electric accessories,5,14,70.0,2022-03-02,2022,3,2
1004284,CUST_15,Milk Products,3,41,123.0,2023-09-25,2023,9,25
1005543,CUST_19,Food,0,0,0.0,2022-12-03,2022,12,3
1005750,CUST_04,Electric household essentials,6,22,129.0,2022-11-26,2022,11,26
1006123,CUST_04,Electric household essentials,1,16,15.5,2023-10-17,2023,10,17
1006129,CUST_21,Milk Products,8,29,232.0,2024-11-05,2024,11,5
1006950,CUST_06,Food,5,19,92.5,2023-08-03,2023,8,3
1007144,CUST_20,Beverages,4,7,26.0,2022-03-05,2022,3,5
1007406,CUST_13,Beverages,6,22,129.0,2022-05-08,2022,5,8
1007496,CUST_01,Butchers,10,16,155.0,2024-02-05,2024,2,5
1007510,CUST_14,Beverages,5,35,175.0,2022-10-03,2022,10,3
1009738,CUST_06,Computers and electric accessories,2,41,82.0,2023-04-23,2023,4,23
1010570,CUST_08,Butchers,7,26,182.0,2023-04-24,2023,4,24
1010976,CUST_07,Computers and electric accessories,5,22,107.5,2022-06-30,2022,6,30
1011669,CUST_14,Food,8,23,184.0,2025-01-17,2025,1,17
1011882,CUST_16,Patisserie,2,35,70.0,2023-10-31,2023,10,31
1011892,CUST_08,Furniture,2,40,79.0,2023-08-27,2023,8,27
1011915,CUST_16,Patisserie,10,32,320.0,2023-03-25,2023,3,25
1012234,CUST_15,Computers and electric accessories,7,8,56.0,2024-05-12,2024,5,12
1012276,CUST_16,Food,9,35,315.0,2024-11-14,2024,11,14
1013045,CUST_11,Computers and electric accessories,4,32,128.0,2023-07-11,2023,7,11
1014253,CUST_01,Furniture,9,25,220.5,2023-01-15,2023,1,15
1014375,CUST_17,Food,3,29,87.0,2023-09-28,2023,9,28
1015414,CUST_18,Butchers,10,38,380.0,2022-12-13,2022,12,13
1016209,CUST_06,Food,4,41,164.0,2024-11-09,2024,11,9
1016292,CUST_11,Electric household essentials,1,26,26.0,2022-02-12,2022,2,12
1016655,CUST_01,Food,1,29,29.0,2023-10-22,2023,10,22
1017087,CUST_06,Patisserie,4,19,74.0,2023-05-22,2023,5,22
1017199,CUST_02,Electric household essentials,7,13,87.5,2024-01-14,2024,1,14
1018578,CUST_10,Computers and electric accessories,3,19,55.5,2023-01-17,2023,1,17
1019817,CUST_16,Electric household essentials,5,19,92.5,2022-08-01,2022,8,1
1020775,CUST_06,Patisserie,3,28,82.5,2023-04-08,2023,4,8
1020981,CUST_19,Electric household essentials,2,26,52.0,2024-09-25,2024,9,25
1021697,CUST_18,Patisserie,6,38,228.0,2022-08-18,2022,8,18
1021886,CUST_04,Butchers,5,16,77.5,2022-02-26,2022,2,26
1021914,CUST_25,Electric household essentials,8,26,208.0,2022-10-01,2022,10,1
1023937,CUST_08,Butchers,5,16,77.5,2024-10-09,2024,10,9
1025805,CUST_09,Butchers,2,16,31.0,2024-07-28,2024,7,28
1027160,CUST_15,Beverages,10,34,335.0,2024-06-12,2024,6,12
1027353,CUST_06,Beverages,8,28,220.0,2024-05-04,2024,5,4
1028025,CUST_05,Milk Products,5,20,100.0,2023-05-18,2023,5,18
1028281,CUST_20,Beverages,10,34,335.0,2022-02-27,2022,2,27
1029810,CUST_23,Butchers,4,5,20.0,2022-08-02,2022,8,2
1030654,CUST_20,Milk Products,7,38,266.0,2022-08-26,2022,8,26
1031335,CUST_21,Electric household essentials,6,13,75.0,2024-11-19,2024,11,19
1031561,CUST_14,Patisserie,6,28,165.0,2023-01-04,2023,1,4
1031651,CUST_12,Beverages,6,7,39.0,2023-05-03,2023,5,3
1032287,CUST_16,Food,2,22,43.0,2022-07-27,2022,7,27
1033656,CUST_18,Electric household essentials,5,26,130.0,2024-04-29,2024,4,29
1034189,CUST_25,Beverages,2,28,55.0,2022-02-08,2022,2,8
1036311,CUST_16,Electric household essentials,1,29,29.0,2022-12-22,2022,12,22
1036563,CUST_12,Computers and electric accessories,8,22,172.0,2023-09-12,2023,9,12
1037036,CUST_18,Beverages,10,40,395.0,2024-03-22,2024,3,22
1038078,CUST_05,Patisserie,5,29,145.0,2023-09-15,2023,9,15
1038808,CUST_02,Milk Products,1,14,14.0,2024-02-29,2024,2,29
1038947,CUST_14,Milk Products,2,28,55.0,2024-03-07,2024,3,7
1038979,CUST_16,Computers and electric accessories,3,11,33.0,2024-02-06,2024,2,6
1039114,CUST_08,Patisserie,7,23,161.0,2023-12-19,2023,12,19
1039611,CUST_09,Beverages,1,16,15.5,2023-08-18,2023,8,18
1040270,CUST_02,Furniture,2,26,52.0,2022-05-03,2022,5,3
1041483,CUST_19,Electric household essentials,0,0,0.0,2024-03-19,2024,3,19
1041890,CUST_03,Furniture,0,0,0.0,2022-07-02,2022,7,2
1041912,CUST_18,Beverages,4,22,86.0,2023-11-12,2023,11,12
1042850,CUST_16,Beverages,2,17,34.0,2024-10-19,2024,10,19
